Periode;Kurs
1;11347.802
2;11355.636
3;11371.732
4;11392.526
5;11367.308
6;11377.156
7;11259.65
8;11169.392
9;11227.516
10;11151.964
11;11091.26
12;11117.792
13;11132.488
14;11149.108
15;11105.368
16;11135.892
17;11215.41
18;11314.222
19;11430.966
20;11512.006
21;11474.868
22;11430.04
23;11380.226
24;11419.984
25;11485.23
26;11447.484
27;11459.164
28;11484.468
29;11615.862
30;11702.982
31;11699.574
32;11618.366
33;11611.342
34;11575.414
35;11514.826
36;11448.794
37;11469.56
38;11281.09
39;11148.126
40;11089.46
41;10985.932
42;10803.23
43;10727.334
44;10650.264
45;10645.536
46;10674.818
47;10668.466
48;10684.968
49;10709.858
50;10755.324
51;10839.146
52;10863.394
53;10868.292
54;10821.186
55;10731.176
56;10747.052
57;10759.466
58;10745.766
59;10670.614
60;10595.81
61;10658.45
62;10699.892
63;10570.672
64;10512.614
65;10573.244
66;10598.154
67;10621.82
68;10635.668
69;10628.132
70;10577.412
71;10594.458
72;10655.292
73;10717.882
74;10705.408
75;10748.952
76;10692.182
77;10716.236
78;10677.514
79;10630.87
80;10611.268
81;10532.016
82;10565.038
83;10561.528
84;10581.364
85;10500.648
86;10528.488
87;10585.698
88;10648.66
89;10592.372
90;10572.628
91;10529.35
92;10540.332
93;10581.692
94;10601.698
95;10646.448
96;10662.03
97;10677.922
98;10708.696
99;10646.156
100;10660.572
101;10705.592
102;10722.944
103;10740.346
104;10780.382
