Periode;Open;Volume;Close
1;6550;1238741;4341.2
2;6629.9;1649115;4489.2
3;6400;1486028;4504.7
4;6201;3064865;4522.1
5;5961;1935648;4453.8
6;6000;1177933;4456
7;5957;1861339;4585
8;5750;2494044;4529.5
9;5700;2105315;4558.3
10;5575;1414955;4373.4
11;5660;1401770;4279.9
12;5889.95;1655094;4274.7
13;5651;1065025;4139.9
14;5840;1098610;3995.2
15;5825;968021;4007.8
16;5783;1084069;3989.5
17;5839;867598;4044.3
18;5850;1259546;4192.7
19;5900;1625805;4290.2
20;6088;817484;4285.4
21;6110;1548966;4180.6
22;6060;887620;4344.5
23;6007;750809;4347.1
24;6125;1043465;4341.5
25;6008.2;737657;4327.1
26;5980;896982;4384.7
27;5900;1334146;4483.9
28;5905;1237674;4460.6
29;5825;2151891;4481.6
30;5525.05;1932785;4498.8
31;5347;1884541;4577
32;5418;1659943;4507
33;5565;2179686;4503.4
34;5220;1937939;4483.3
35;5428;1119456;4411.6
36;5525;1002359;4424.2
37;5531.5;898346;4216.6
38;5445.6;1101857;4379.9
39;5510;1304933;4284.7
40;5700;1049008;4324.9
41;5607;739500;4352.3
42;5485;755982;4450.7
43;5512.8;1198275;4472.7
44;5364;1221890;4582.4
45;5612.9;789818;4553.2
46;5660;1228453;4665.3
47;5680;2222952;4676.5
48;5935;1335247;4715.3
49;5928;803282;4700.2
50;5850;761337;4776.2
51;5849.8;975446;4902.9
52;5929.95;886934;5158.1
53;5925;692920;5386.3
54;5855;569859;5319.1
55;5969.9;966432;5253.7
56;6040;978560;5384.9
57;6149;827092;5435.8
58;6079;1325493;5455.4
59;6271;953295;5443.4
60;6240;724023;5498.2
61;6300;1530406;5450.6
62;6279;1444989;5561.1
63;6522;6485782;5564.3
64;7175;2606762;5558
65;7251.05;1227077;5225.9
66;7201.45;1249124;5021.4
67;7326;1218621;5024.7
68;7338.95;949481;5095.4
69;7339.95;758078;5082.3
70;7300;957482;5157.8
71;7369;1906523;5248.9
72;7244;1027051;5178.9
73;7302;1036941;5171.5
74;7339;804464;5106.8
75;7300;2344414;5131.3
76;7490;835354;5140.2
77;7510;1100427;5170.1
78;7261;1060862;5228.2
79;7085;1088603;5339.4
80;7165;953096;5439.6
81;7212.8;1354296;5440.6
82;7120;759139;5511.3
83;6881;996735;5682.4
84;7000;1731381;5626.9
85;7228.6;1462579;5562.1
86;7217.1;906370;5460.5
87;7190.7;707025;5482.7
88;7228.75;791905;5438.7
89;7078;791994;5452.3
90;7220;772251;5311.9
91;7300;649607;5356
92;7216.85;834716;5411.8
93;7330;1382700;5400
94;7272.15;1493388;5397.6
95;7489.95;717420;5391
96;7385;1187036;5307.8
97;7275;1648117;5344.4
98;7569.95;1613450;4870.8
99;7640;1239262;4915.6
100;7670;1281039;4967.3
101;7714.8;1412331;5100
102;7437;1875205;5052.5
103;7325;1142829;5021.2
104;7179;869069;4935.1
105;7312.5;969632;5022
106;7081;1618665;5202.2
107;7337;820198;5075.6
108;7335;1191495;5039.1
109;7550;1510060;5011.6
110;7385.45;991196;5050
111;7265;653113;5054.7
112;7307;732206;5036.9
113;7205;740731;5148.9
114;7220.5;608655;5247
115;7300;839012;5200.1
116;7254.95;617401;4965.6
117;7400;906975;4935.9
118;7417;627177;4821.4
119;7369.95;1026054;4844.9
120;7490;2386960;4868.1
