Periode,Data
1,4748
2,4807
3,4646
4,4577
5,4597
6,4566
7,4498
8,4473
9,4469
10,4550
11,4595
12,4527
13,4515
14,4434
15,4385
16,4406
17,4338
18,4366
19,4249
20,4309
21,4384
22,4257
23,4299
24,4471
25,4456
26,4321
27,4354
28,4398
29,4397
30,4372
31,4426
32,4358
33,4292
34,4691
35,4702
36,4549
37,4517
38,4546
39,4551
40,4464
41,4513
42,4420
43,4417
44,4352
45,4226
46,4172
47,4112
48,4178
49,4084
50,4167
51,4183
52,4228
53,4310
54,4132
55,4401
56,4318
57,4416
58,4352
59,4229
60,4255
61,4189
62,4225
63,4085
64,4022
65,4047
66,3904
67,3895
68,3895
69,3864
70,3896
71,3923
72,3937
73,3882
74,3880
75,3852
76,3795
77,3757
78,3761
79,3864
80,3748
81,3830
82,3779
83,3709
84,3542
85,3465
86,3438
87,3256
88,3240
89,3090
90,3111
91,3293
92,3322
93,3497
94,3373
95,3446
96,3481
97,3271
98,3150
99,3322
100,3267
101,3318
102,3240
103,3216
104,3245
105,3245
106,3199
107,3300
108,3193
109,3335
110,3452
111,3394
112,3411
113,3389
114,3318
115,3214
116,3287
117,3384
118,3231
119,3252
120,3123
121,3124
122,3070
123,3040
124,3092
125,3037
126,3067
127,3052
128,3047
129,3094
130,3119
131,3103
132,3128
133,3037
134,3043
135,2994
136,2976
137,2959
138,2917
139,2894
140,2920
141,2955
142,2909
143,2857
144,2875
145,2799
146,2752
147,2751
148,2749
149,2784
150,2719
151,2719
